Channel Name,Channel ID,Social ID
tseries,UCq-Fj5jknLsUf-MWSy4_brA,channel
MrBeast,UCX6OQ3DkcsbYNE6H8uQQuVA,channel
CoComelon,UCbCmjCuTUZos6Inko4u57UQ,channel
SETIndia,UCpEhnqL0y41EpW2TvWAHD7Q,channel
KidsDianaShow,UCk8GzjMOrta8yxDcKfylJYw,channel
LikeNastyaofficial,UCJplp5SjeGSdVdwsfb9Q7lQ,channel
VladandNiki,UCvlE5gTbOvjiolFlEm-c_Ow,channel
PewDiePie,UC-lHJZR3Gqxm24_Vd_AJ5Yw,channel
zeemusiccompany,UCFFbwnve3yF62-tVXkTyHqg,channel
WWE,UCJ5v_MCY6GNUBTO8-D3XoAg,channel
GoldminesTelefilms,UCyoXW-Dse7fURq30EWl_CUA,channel
SonySAB,UC6-F5tO8uklgE9Zy8IvbdFw,channel
5MinuteCraftsYouTube,UC295-Dw_tDNtZXFeAPAW6Aw,channel
Pinkfong,UCcdwLMPsaU2ezNSJU1nFoBQ,channel
zeetv,UCppHT7SZKKvar4Oc9J4oljQ,channel
BTS,UCLkAepWjdylmXSltofFvsYQ,channel
HYBELABELS,UC3IZKseVpdzPSBaWxBxundA,channel
colorstv,UC55IWqFLDH1Xp7iu1_xknRA,channel
ChuChuTV,UCBnZ16ahKA2DZ_T5W0FPUXg,channel
filmigaane,UCP6uH_XlsxrXwZQ4DlqbqPg,channel
KondZilla,UCffDXn7ycAzwL2LDlbyWOTw,channel
TSeriesBhaktiSagar,UCaayLD9i5x4MmIoVZxXSv_g,channel
tipsofficial,UCJrDMFOdv1I2k8n9oK_V21w,channel
ElReinoInfantil,UCK1i2UviaXLUNrZlAFpw_jA,channel
aajtak,UCt4t-jeY85JegMlZ-E5UWtA,channel
WaveMusicIndia,UC22nIfOTM7KLIQuFGMKzQbg,channel
MOVIECLIPS,UC3gNmTGu-TTbFPpfSs5kNkg,channel
infobellshindirhymes,UC1ciY6kR3yj3kaKZ6R7ewAg,channel
dudeperfect,UCRijo3ddMTht_IHyNSNXpNQ,channel
SonyMusicIndia,UC56gTxNs4f9xZ7Pa2i5xNzg,channel
eminem,UCfM3zsQsOnfWNUppiycmBuw,channel
yrf,UCbTLwN10NoCU4WDzLf1JMOA,channel
marshmello,UCEdvpU2pFRCVqU6yIPyTpMQ,channel
TaylorSwift,UCqECaJ8Gagnn7YCbPEzWH6g,channel
LooLooKids,UC4NALVCmcmL5ntpV0thoH6w,channel
BillionSurpriseToys,UCRx3mKNUdl8QE06nEug7p6Q,channel
EdSheeran,UC0C-w0YjGpqDXGB8IHb662A,channel
ArianaGrande,UC9CoOnJkIBMdeijd9qYoT_g,channel
toysandcolors,UCgFXm4TI8htWmCyJ6cVPG_A,channel
shemaroo,UCF1JIbMUs6uqoZEY1Haw0GQ,channel
A4a4a4a4,UC2tsySbe9TNrI-xh2lximHA,channel
ARYDigitalasia,UC4JCksJF76g_MdzPVBJoC3Q,channel
HarPalGeoOfficial,UCe9JSDmyqNgA_l2BzGHq1Ug,channel
getmovies,UClZkHt2kNIgyrTTPnSQV3SA,channel
JuegaGerman,UCYiGq8XF7YQD00x7wAd62Zg,channel
sonymusicindiaVEVO,UC3MLnJtqc_phABBriLRhtgQ,channel
BillieEilish,UCiGm_E4ZwYSHV3bcW1pnSeQ,channel
Mikecrack,UCqJ5zFEED1hWs0KNQCQuYdQ,channel
zamzamelectronicstradingllc,UCrnQFuUabBHaw-BRhPo8xEA,channel
vootkids,UCJg19noZp7-BYIGvypu_cow,channel
